Centroid Distance (Euclidean),Centroid Distance (Cosine),Avg Cosine Similarity (Novice),Avg Cosine Similarity (Expert),Avg Dist to Centroid (Novice),Avg Dist to Centroid (Expert),PCA Explained Variance Ratio (1st),PCA Components > 95% Variance,Convex Hull Area (Novice),Convex Hull Area (Expert),Intra-cluster Distance Mean (Novice),Intra-cluster Distance Std (Novice),Intra-cluster Distance Mean (Expert),Intra-cluster Distance Std (Expert),Inter-cluster Distance Mean,KL Divergence (Novice || Expert),Spectral Entropy,KDE Mean Log Density (Novice),KDE Mean Log Density (Expert),Topic
0.368802,0.241387,0.263722,0.243386,0.839989,0.848866,0.082863,42,0.70512,0.633201,1.209877,0.093565,1.223695,0.125696,1.250215,0.0,2.632256,-353.564525,-353.580624,decision making
0.40423,0.195069,0.350017,0.411724,0.779598,0.737093,0.119892,30,0.548852,0.748832,1.132718,0.130062,1.07428,0.149911,1.14731,0.0,2.437672,-353.468351,-353.409199,creativity
0.386157,0.23489,0.302696,0.273316,0.813893,0.829539,0.10286,39,0.732719,0.69431,1.173829,0.129354,1.199135,0.124271,1.225425,0.0,2.586037,-353.523945,-353.548516,nutrition
0.307311,0.179483,0.226523,0.230105,0.853122,0.855964,0.112125,37,0.695231,0.54505,1.23718,0.127824,1.235238,0.118222,1.246767,0.0,2.542845,-353.581175,-353.590129,language acquisition
0.319625,0.20059,0.245271,0.187319,0.849694,0.879869,0.102581,39,0.683092,0.671113,1.22451,0.100164,1.270484,0.105978,1.262741,0.0,2.57436,-353.577265,-353.625278,climate
0.330725,0.151666,0.312726,0.341814,0.804015,0.787152,0.086392,34,0.692103,0.65525,1.166842,0.114136,1.141048,0.119924,1.173768,0.0,2.511376,-353.50574,-353.483522,vision
0.424083,0.277903,0.291824,0.237824,0.809939,0.830828,0.128472,22,0.532731,0.672676,1.187519,0.078435,1.22688,0.138266,1.234728,0.0,2.274094,-353.506282,-353.534936,AI
0.334863,0.125817,0.439671,0.33225,0.721012,0.780157,0.121534,25,0.607493,0.723378,1.05261,0.112566,1.146479,0.145214,1.113112,0.0,2.338488,-353.382072,-353.466206,memory
0.310355,0.103599,0.443887,0.401556,0.710946,0.739124,0.114561,24,0.48161,0.722871,1.04294,0.156528,1.084411,0.144711,1.072134,0.0,2.32858,-353.372551,-353.410405,time
0.360291,0.178216,0.298126,0.326822,0.807662,0.779444,0.119069,24,0.698778,0.599649,1.178451,0.122472,1.152535,0.134235,1.17909,0.0,2.328838,-353.509646,-353.461794,robotics
0.398366,0.252999,0.295267,0.249089,0.810498,0.838469,0.111933,30,0.72944,0.705815,1.179991,0.130725,1.220064,0.115172,1.232928,0.0,2.448908,-353.517664,-353.556754,mental health
0.367689,0.167139,0.366006,0.335786,0.759025,0.775251,0.111964,21,0.556933,0.580188,1.121157,0.104856,1.143025,0.148061,1.145069,0.0,2.250539,-353.430694,-353.458296,mind
0.381066,0.186356,0.359431,0.330709,0.766515,0.785811,0.109009,25,0.845708,0.651075,1.122645,0.144243,1.152143,0.105593,1.16282,0.0,2.342363,-353.450644,-353.4709,morals
0.295381,0.118029,0.344407,0.32528,0.78657,0.794222,0.102238,31,0.627326,0.712291,1.1399,0.108687,1.155848,0.115991,1.155296,0.0,2.467047,-353.479621,-353.489021,language
